utc,family,ticker,side,target,ref,qual_score,qual_size,levels,book_depth,share_at_20
2026-09-07T07:44:19+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070345-45,yes,300,,0.00,213.00,0,213.00,0.00000
2026-09-07T07:44:19+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070345-45,no,300,0.9800,165.91,2376.60,7,9253.54,0.10758
2026-09-07T07:44:19+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070345-45,yes,300,0.9800,313.31,313.31,1,9825.09,0.06000
2026-09-07T07:44:19+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070345-45,no,300,,0.00,51.63,0,51.63,0.00000
2026-09-07T07:44:19+00:00,KXSILVER15M,KXSILVER15M-26SEP070345-45,yes,300,0.0020,596.31,596.31,2,676.31,0.03245
2026-09-07T07:44:19+00:00,KXSILVER15M,KXSILVER15M-26SEP070345-45,no,300,0.9900,316.69,316.69,1,13935.39,0.05940
2026-09-07T07:44:19+00:00,KXWTI15M,KXWTI15M-26SEP070345-45,yes,300,0.0030,593.22,998.22,2,1822.22,0.03261
2026-09-07T07:44:19+00:00,KXWTI15M,KXWTI15M-26SEP070345-45,no,300,0.9960,1467.46,1467.46,1,55944.28,0.01345
2026-09-07T07:44:19+00:00,KXGOLD15M,KXGOLD15M-26SEP070345-45,yes,300,0.1000,1878.00,1878.00,1,31495.58,0.01054
2026-09-07T07:44:19+00:00,KXGOLD15M,KXGOLD15M-26SEP070345-45,no,300,0.8500,607.00,607.00,2,28731.19,0.03190
2026-09-07T07:44:19+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070345-XRP,yes,1000,,0.00,0.00,0,0.00,0.00000
2026-09-07T07:44:19+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070345-XRP,no,1000,0.0300,2590.00,2590.00,1,3743.00,0.00766
2026-09-07T07:45:20+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,yes,300,0.4700,460.00,2280.00,2,15427.73,0.04167
2026-09-07T07:45:20+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,no,300,0.4300,2136.10,2136.10,4,15226.40,0.00928
2026-09-07T07:45:20+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,yes,300,0.4700,690.00,2220.00,2,11396.90,0.02817
2026-09-07T07:45:20+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,no,300,0.4900,594.00,2124.00,2,11348.40,0.03257
2026-09-07T07:45:20+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,yes,300,0.4600,334.00,334.00,1,34071.45,0.05650
2026-09-07T07:45:20+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,no,300,0.5200,1192.32,2262.02,2,33655.26,0.01650
2026-09-07T07:45:20+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,yes,300,0.5100,552.00,2389.50,3,48234.46,0.03497
2026-09-07T07:45:20+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,no,300,0.4700,2699.23,2699.23,1,51178.53,0.00736
2026-09-07T07:45:20+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,yes,300,0.4500,1697.00,1697.00,1,197337.18,0.01165
2026-09-07T07:45:20+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,no,300,0.5300,805.00,1530.00,2,207730.27,0.02424
2026-09-07T07:45:20+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,yes,1000,0.1200,200.98,1200.00,2,2200.00,0.09051
2026-09-07T07:45:20+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,no,1000,0.0100,1150.00,1150.00,1,1150.00,0.01709
2026-09-07T07:46:22+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,yes,300,0.3600,234.38,2208.00,4,16443.23,0.07862
2026-09-07T07:46:22+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,no,300,0.5800,1558.05,1558.05,3,14692.35,0.01267
2026-09-07T07:46:22+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,yes,300,0.7100,617.50,2163.00,5,15664.40,0.03137
2026-09-07T07:46:22+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,no,300,0.2500,454.14,454.14,1,14500.23,0.04218
2026-09-07T07:46:22+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,yes,300,0.5000,325.00,325.00,1,33725.46,0.05797
2026-09-07T07:46:22+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,no,300,0.4800,1218.00,2278.32,2,33556.96,0.01616
2026-09-07T07:46:22+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,yes,300,0.5000,334.00,334.00,1,49451.88,0.05650
2026-09-07T07:46:22+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,no,300,0.4800,1234.80,2284.80,2,51142.62,0.01594
2026-09-07T07:46:22+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,yes,300,0.5600,1213.82,2229.82,2,199402.82,0.01621
2026-09-07T07:46:22+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,no,300,0.4300,780.34,780.34,1,208779.95,0.02499
2026-09-07T07:46:22+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,yes,1000,0.1200,1200.00,1200.00,1,5203.00,0.01639
2026-09-07T07:46:22+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,no,1000,0.7100,1000.00,1000.00,1,5153.00,0.01961
2026-09-07T07:47:23+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,yes,300,0.3700,390.50,2233.00,4,15309.23,0.04872
2026-09-07T07:47:23+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,no,300,0.5900,386.45,2250.60,3,15464.90,0.04921
2026-09-07T07:47:23+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,yes,300,0.7800,596.22,596.22,2,15014.12,0.03246
2026-09-07T07:47:23+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070400-00,no,300,0.2000,606.75,2154.00,2,14036.10,0.03191
2026-09-07T07:47:23+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,yes,300,0.5400,503.00,503.00,2,32392.53,0.03824
2026-09-07T07:47:23+00:00,KXSILVER15M,KXSILVER15M-26SEP070400-00,no,300,0.4000,80.56,349.49,7,32044.93,0.19888
2026-09-07T07:47:23+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,yes,300,0.5000,1174.64,1174.64,1,49647.63,0.01674
2026-09-07T07:47:23+00:00,KXWTI15M,KXWTI15M-26SEP070400-00,no,300,0.4900,256.57,661.38,3,48813.08,0.07231
2026-09-07T07:47:23+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,yes,300,0.6500,4627.00,4627.00,1,203567.42,0.00430
2026-09-07T07:47:23+00:00,KXGOLD15M,KXGOLD15M-26SEP070400-00,no,300,0.3300,415.30,670.30,3,208984.14,0.04595
2026-09-07T07:47:23+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,yes,1000,0.1200,1200.00,1200.00,1,5203.00,0.01639
2026-09-07T07:47:23+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070400-XRP,no,1000,0.7100,1000.00,1000.00,1,5153.00,0.01961
2026-09-07T07:48:24+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,yes,300,0.1200,82.78,588.00,6,9268.13,0.19459
2026-09-07T07:48:24+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070400-00,no,300,0.8500,236.10,318.70,3,13710.00,0.07809
